1	4.5
2	7.5
3	10.5
4	13.5
5	16.5
6	20
7	23.5
8	27
9	30
10	33.2
11	36.4
12	39.6
13	42.8
14	46
15	49.2
16	52.4
17	55.6
18	58.8
19	62
20	65.2
21	68.4
22	71.6
23	74.8
24	78
25	81.2
26	84.4
27	87.6
28	90.8
29	94
30	97.2
31	100.4
32	103.6
33	106.8
34	110
35	4.5
36	15
37	20.5
38	25.5
39	30.5
40	35.5
41	40.7
42	45.9
43	51.1
44	56.3
45	61.5
46	66.7
47	71.9
48	77.1
49	82.3
50	87.5
51	92.7
52	97.9
53	103.1
54	108.3
55	113.5
56	118.7
57	123.9
58	129.1
59	134.3
60	139.5
61	144.7
62	149.9
63	155.1
64	160.3
65	165.5
66	170.7
67	175.9
68	181.1
69	186.3
70	191.5
71	196.7
72	201.9
73	207.1
74	212.3
75	217.5
76	222.7
77	233.1
78	227.9
79	238.3
80	243.5
81	248.7
82	253.9
83	259.1
84	264.3
85	269.5
86	274.7
87	279.9
88	285.1
89	290.3
90	295.5
91	300.7
92	305.9
93	311.1
94	316.3
95	321.5
96	326.7
97	331.1
98	337.1
99	342.3
100	347.5
101	352.7
102	357.9
103	360
104	4.5
105	15
106	20
107	24.5
108	29
109	33.5
110	38
111	42.5
112	47
113	51.5
114	55
115	59.5
116	64
117	68.5
118	73
119	77.5
120	82
121	86.5
122	91
123	95.5
124	100
125	104.5
126	109
127	113.5
128	118
129	122.5
130	127
131	131.5
132	136
133	140.5
134	145
135	149.5
136	154
137	158.5
138	163
139	167.5
140	172
141	176.5
142	181
143	185.5
144	190
145	194.5
146	199
147	203.5
148	208
149	212.5
150	217
151	221.5
152	226
153	230.5
154	235
155	239.5
156	244
158	40
159	56
160	64
161	75
162	84
163	97
164	30
165	40
166	56
167	64
168	75
169	84
170	97
171	30
172	40
173	56
174	64
175	75
176	84
177	97
178	30
179	40
180	56
181	64
182	75
183	84
184	97
185	32
186	38
187	44
188	50
189	56
190	62
192	68
193	74
194	40
195	40
196	40
197	84
