what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1348216497914
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1348216498002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348216523765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348216723458
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348216723710
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348216723769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348216731602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348216736866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348216738274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348216791796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348216799164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348216818848
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1348216819230
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1348216819266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348216819400
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348216823570
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1348216827612
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1348216832950
