what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1348448704204
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1348448704215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348448705293
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1348448705359
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1348448706050
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1348448707882
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1348448708345
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1348448708368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348448710977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348448779567
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348448779690
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1348448786092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348448786266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348448788033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348450243299
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1348450243317
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348450244146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348450264901
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348452104153
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1348452114164
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348452117834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348452164029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348452307529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348452311691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348452856905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348452874029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348453017221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348453022705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348453044362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348453045056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348453063463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348453064466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348453259270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348453261475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348468625179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348468650585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348469614022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348469625345
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1348469626478
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348469632606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348469636817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348469639028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348469640165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348469642271
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1348469643482
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348469645569
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1348469645571
